latitude,longitude,value
510000,6000,3.64847517
522000,6000,3.488538027
534000,6000,3.540526152
894000,6000,5.341691494
906000,6000,5.621836185
498000,18000,4.215054512
546000,18000,5.635998249
558000,18000,5.839746475
906000,18000,5.608723164
486000,30000,3.69275713
558000,30000,5.537382603
486000,42000,2.87241292
558000,42000,3.16261363
486000,54000,2.846855402
570000,54000,2.920140982
582000,54000,3.115069866
786000,54000,4.206410885
486000,66000,2.882026196
582000,66000,2.89496398
786000,66000,4.141295433
798000,66000,4.142486572
810000,66000,4.021750927
858000,66000,4.136784077
870000,66000,4.060382843
594000,78000,2.674547434
798000,78000,4.074169159
810000,78000,3.87759757
822000,78000,4.006798267
834000,78000,4.215725422
846000,78000,3.721161366
882000,78000,3.889431
6000,90000,2.349380016
18000,90000,2.369478703
474000,90000,2.278537035
486000,90000,2.964235306
594000,90000,2.853864908
738000,90000,3.435080767
750000,90000,3.490111828
834000,90000,4.053636551
846000,90000,3.897060633
858000,90000,3.471901655
894000,90000,4.788927078
918000,90000,5.810172558
474000,102000,2.680413485
594000,102000,2.901072502
738000,102000,3.410098791
750000,102000,3.23186636
870000,102000,3.539913177
918000,102000,5.901160717
930000,102000,5.367257118
942000,102000,4.606440067
474000,114000,3.235844612
606000,114000,2.760525465
654000,114000,3.738617182
666000,114000,3.705513239
750000,114000,3.597315788
762000,114000,4.518332005
834000,114000,5.346082687
846000,114000,4.743641853
858000,114000,4.671330452
882000,114000,4.250344276
942000,114000,4.254964352
474000,126000,3.540096283
606000,126000,2.827543497
642000,126000,3.210127354
678000,126000,3.936291695
714000,126000,3.451794624
726000,126000,3.477403164
750000,126000,4.498222828
762000,126000,4.775556087
798000,126000,7.464998722
810000,126000,6.994415283
834000,126000,6.190217018
870000,126000,5.018553734
954000,126000,3.593407154
18000,138000,2.527366638
30000,138000,3.029878855
42000,138000,3.031089544
462000,138000,2.525985718
474000,138000,3.26300168
594000,138000,3.619809866
606000,138000,3.010632515
642000,138000,3.368617296
690000,138000,3.318842649
702000,138000,3.388742447
714000,138000,3.974559546
774000,138000,3.736124516
786000,138000,8.096075058
870000,138000,4.359537125
882000,138000,3.889529467
894000,138000,4.435643673
906000,138000,4.350272179
918000,138000,3.977702141
954000,138000,3.672653437
18000,150000,3.012975693
42000,150000,3.218060732
474000,150000,2.854110241
570000,150000,3.276150465
582000,150000,3.179291487
654000,150000,4.45019722
714000,150000,5.889124393
870000,150000,4.728578568
930000,150000,3.302919626
954000,150000,3.616345406
966000,150000,3.046515226
18000,162000,2.771102905
42000,162000,2.948656082
486000,162000,2.31930089
546000,162000,2.698282957
558000,162000,2.708280325
606000,162000,4.39615202
