latitude,longitude,value
510000,6000,9.082024574
522000,6000,9.211622238
534000,6000,8.998277664
894000,6000,8.309407234
906000,6000,7.996752262
498000,18000,8.291751862
546000,18000,8.011863708
558000,18000,8.139260292
906000,18000,7.860764027
486000,30000,8.51194191
558000,30000,8.474336624
486000,42000,9.492903709
558000,42000,9.072347641
486000,54000,9.522169113
570000,54000,9.126864433
582000,54000,9.167705536
786000,54000,9.143795967
486000,66000,9.46211338
582000,66000,9.216580391
786000,66000,9.274912834
798000,66000,9.244146347
810000,66000,9.478525162
858000,66000,9.15818119
870000,66000,9.016919136
594000,78000,9.629060745
798000,78000,9.346918106
810000,78000,9.162029266
822000,78000,8.873765945
834000,78000,8.608192444
846000,78000,9.018061638
882000,78000,9.003185272
6000,90000,11.90082359
18000,90000,11.77329731
474000,90000,9.271114349
486000,90000,8.66860199
594000,90000,8.974430084
738000,90000,9.279377937
750000,90000,9.248614311
834000,90000,8.680383682
846000,90000,9.003284454
858000,90000,8.912045479
894000,90000,8.747065544
918000,90000,8.584779739
474000,102000,9.203536987
594000,102000,9.323350906
738000,102000,9.252703667
750000,102000,9.313019753
870000,102000,8.51817894
918000,102000,8.146500587
930000,102000,8.348965645
942000,102000,8.72198391
474000,114000,9.143528938
606000,114000,9.391433716
654000,114000,9.075817108
666000,114000,9.258221626
750000,114000,9.324276924
762000,114000,9.218240738
834000,114000,8.63348484
846000,114000,8.234069824
858000,114000,8.408150673
882000,114000,8.942867279
942000,114000,8.838134766
474000,126000,9.021245003
606000,126000,9.311390877
642000,126000,8.860730171
678000,126000,9.462370872
714000,126000,9.448892593
726000,126000,9.406667709
750000,126000,9.333117485
762000,126000,9.309539795
798000,126000,7.303356647
810000,126000,8.932186127
834000,126000,8.505358696
870000,126000,8.6641922
954000,126000,8.645981789
18000,138000,10.76067734
30000,138000,10.70459175
42000,138000,10.99128151
462000,138000,9.991991997
474000,138000,9.251847267
594000,138000,8.489993095
606000,138000,9.612189293
642000,138000,9.028981209
690000,138000,9.641439438
702000,138000,9.45906353
714000,138000,9.160092354
774000,138000,9.259353638
786000,138000,8.349547386
870000,138000,8.350168228
882000,138000,8.951319695
894000,138000,8.409640312
906000,138000,8.189826012
918000,138000,8.395606995
954000,138000,8.253235817
18000,150000,11.17606354
42000,150000,10.85294056
474000,150000,9.91356945
570000,150000,9.011541367
582000,150000,8.949562073
654000,150000,8.972448349
714000,150000,8.530936241
870000,150000,8.388059616
930000,150000,8.380495071
954000,150000,7.851928711
966000,150000,8.341069221
18000,162000,11.04290771
42000,162000,10.86958981
486000,162000,9.684512138
546000,162000,9.40598774
558000,162000,9.716881752
606000,162000,8.617671013
618000,162000,8.824998856
630000,162000,9.069466591
642000,162000,9.435528755
654000,162000,9.556845665
702000,162000,8.786143303
942000,162000,8.610041618
954000,162000,8.003095627
18000,174000,10.92784405
54000,174000,10.88453388
66000,174000,11.218009
210000,174000,10.58477688
222000,174000,10.30293846
234000,174000,10.09142876
498000,174000,9.851978302
510000,174000,9.815943718
522000,174000,9.757300377
534000,174000,9.75710392
606000,174000,9.446655273
870000,174000,8.798039436
882000,174000,8.387403488
894000,174000,8.377968788
18000,186000,11.11657715
30000,186000,11.31489563
78000,186000,11.08489609
198000,186000,10.55652714
246000,186000,10.25723839
618000,186000,9.632529259
894000,186000,8.977387428
42000,198000,10.80041122
78000,198000,10.88990498
198000,198000,10.44011879
246000,198000,10.12614918
546000,198000,9.350012779
558000,198000,9.027072906
570000,198000,9.202869415
618000,198000,8.975884438
906000,198000,8.934418678
918000,198000,8.929596901
930000,198000,8.60868454
54000,210000,10.67589474
90000,210000,10.07476616
102000,210000,10.86655617
138000,210000,10.86158657
150000,210000,10.58953571
198000,210000,10.1983366
246000,210000,9.817642212
318000,210000,10.4607687
330000,210000,10.33802795
534000,210000,9.235860825
546000,210000,9.382259369
582000,210000,8.60521698
594000,210000,9.291669846
618000,210000,8.669612885
630000,210000,9.178750038
942000,210000,8.462029457
954000,210000,8.455448151
54000,222000,10.54698086
114000,222000,10.00491142
126000,222000,10.10663033
258000,222000,9.887434006
330000,222000,10.14648628
342000,222000,10.30638409
378000,222000,10.4487524
462000,222000,9.947102547
474000,222000,9.261313438
486000,222000,9.722876549
618000,222000,8.909267426
642000,222000,9.339961052
966000,222000,7.435909271
978000,222000,7.921706676
54000,234000,10.68366909
126000,234000,9.980491638
198000,234000,10.18986607
258000,234000,9.585238457
318000,234000,10.04567528
330000,234000,10.21853447
342000,234000,9.858985901
366000,234000,10.42404842
378000,234000,10.18032455
390000,234000,10.07370567
462000,234000,10.21988964
498000,234000,9.959722519
534000,234000,8.853797913
978000,234000,7.480020046
54000,246000,10.83320236
138000,246000,10.78407192
150000,246000,10.84733963
186000,246000,10.58580399
270000,246000,10.00905514
390000,246000,10.00473976
474000,246000,9.968348503
486000,246000,8.862812042
498000,246000,9.967843056
510000,246000,10.27938175
534000,246000,9.134342194
966000,246000,7.734415531
42000,258000,10.66126347
150000,258000,10.17468071
186000,258000,10.64594841
282000,258000,9.866326332
294000,258000,10.30966663
306000,258000,9.867150307
318000,258000,9.82531929
378000,258000,10.38194466
546000,258000,9.202716827
966000,258000,7.627480507
42000,270000,10.99471951
150000,270000,9.312195778
186000,270000,11.3107338
378000,270000,9.574419975
546000,270000,9.070864677
966000,270000,8.07804966
30000,282000,11.23101425
42000,282000,10.93317699
150000,282000,9.031333923
174000,282000,10.60110378
378000,282000,10.02375793
546000,282000,8.956733704
966000,282000,7.859417915
54000,294000,11.06583691
66000,294000,11.10542965
378000,294000,10.0585804
510000,294000,9.310648918
522000,294000,9.335672379
534000,294000,9.738121033
882000,294000,8.40627861
906000,294000,7.745611191
966000,294000,8.060131073
78000,306000,10.95173264
390000,306000,10.65096378
486000,306000,9.51177597
498000,306000,9.463155746
870000,306000,8.836753845
918000,306000,7.324874878
966000,306000,7.939837456
90000,318000,10.22530842
390000,318000,10.59953785
462000,318000,10.00672054
474000,318000,9.683414459
870000,318000,8.738130569
918000,318000,7.764118195
978000,318000,7.888026714
990000,318000,7.853960514
1002000,318000,7.513593197
1014000,318000,8.226239204
