latitude,longitude,subregion_,value,imputed_value
510000.0,6000.0,6,9.082024574279785,8.577250100507513
522000.0,6000.0,6,9.21162223815918,8.935667402931122
534000.0,6000.0,6,8.99827766418457,9.039191936155863
894000.0,6000.0,10,8.309407234191895,8.921076115097833
906000.0,6000.0,10,7.996752262115479,8.921076115097833
498000.0,18000.0,6,8.291751861572266,8.845343372337773
546000.0,18000.0,7,8.011863708496094,8.241164405111393
558000.0,18000.0,7,8.139260292053223,8.306938555836716
906000.0,18000.0,10,7.860764026641846,8.921076115097833
486000.0,30000.0,6,8.511941909790039,9.079312427667123
558000.0,30000.0,7,8.474336624145508,8.532800712105301
486000.0,42000.0,6,9.492903709411621,9.23763704348509
558000.0,42000.0,7,9.072347640991211,8.752193649537748
486000.0,54000.0,6,9.52216911315918,9.269951842635166
570000.0,54000.0,7,9.126864433288574,8.72709541508623
582000.0,54000.0,7,9.167705535888672,8.787705824197083
786000.0,54000.0,10,9.14379596710205,8.921076115097833
486000.0,66000.0,6,9.462113380432129,9.041636285359912
582000.0,66000.0,7,9.216580390930176,8.98246234647558
786000.0,66000.0,23,9.27491283416748,8.56130637975935
798000.0,66000.0,10,9.244146347045898,8.921076115096605
810000.0,66000.0,10,9.478525161743164,8.921077261093366
858000.0,66000.0,10,9.158181190490723,8.929685734579538
870000.0,66000.0,10,9.016919136047363,8.925314375716528
594000.0,78000.0,7,9.629060745239258,8.856349948098565
798000.0,78000.0,23,9.346918106079102,8.561454694988806
810000.0,78000.0,10,9.162029266357422,8.921076036787092
822000.0,78000.0,10,8.87376594543457,8.921063303315295
834000.0,78000.0,10,8.608192443847656,8.921076096332108
846000.0,78000.0,10,9.018061637878418,8.962176745537416
882000.0,78000.0,10,9.003185272216797,8.930996208487455
6000.0,90000.0,15,11.900823593139648,10.77045111204742
18000.0,90000.0,15,11.773297309875488,10.770451112054669
474000.0,90000.0,20,9.271114349365234,8.965853334845265
486000.0,90000.0,6,8.668601989746094,8.9171628985381
594000.0,90000.0,7,8.974430084228516,8.624426714385686
738000.0,90000.0,23,9.279377937316895,8.564603009703013
750000.0,90000.0,23,9.248614311218262,8.565573508372083
834000.0,90000.0,10,8.680383682250977,8.921021934571346
846000.0,90000.0,10,9.003284454345703,8.916227924249696
858000.0,90000.0,10,8.9120454788208,8.861612795806398
894000.0,90000.0,25,8.747065544128418,8.416715081834004
918000.0,90000.0,25,8.584779739379883,8.414140996002821
474000.0,102000.0,20,9.203536987304688,9.160317021277123
594000.0,102000.0,21,9.32335090637207,9.129611912402002
738000.0,102000.0,23,9.252703666687012,8.595137820900158
750000.0,102000.0,23,9.313019752502441,8.604947671612656
870000.0,102000.0,24,8.518178939819336,8.525967169360923
918000.0,102000.0,25,8.146500587463379,8.145360585490955
930000.0,102000.0,25,8.348965644836426,8.307824111642596
942000.0,102000.0,25,8.721983909606934,8.493956461921316
474000.0,114000.0,20,9.143528938293457,9.107360747356173
606000.0,114000.0,21,9.391433715820312,9.193765880236747
654000.0,114000.0,22,9.075817108154297,9.02584603775877
666000.0,114000.0,22,9.258221626281738,9.07746420989922
750000.0,114000.0,23,9.3242769241333,8.787776539486089
762000.0,114000.0,23,9.218240737915039,8.803809842035733
834000.0,114000.0,24,8.633484840393066,8.510473257819106
846000.0,114000.0,24,8.23406982421875,8.357042344778215
858000.0,114000.0,24,8.408150672912598,8.32368970926698
882000.0,114000.0,24,8.942867279052734,8.553722635499586
942000.0,114000.0,25,8.838134765625,8.516741375710918
474000.0,126000.0,20,9.021245002746582,9.093037398371209
606000.0,126000.0,21,9.31139087677002,8.970825278290517
642000.0,126000.0,22,8.860730171203613,8.7070442366155
678000.0,126000.0,22,9.462370872497559,9.098403526646022
714000.0,126000.0,23,9.448892593383789,8.748763185502522
726000.0,126000.0,23,9.406667709350586,8.869063924449835
750000.0,126000.0,23,9.333117485046387,9.137312344405041
762000.0,126000.0,23,9.309539794921875,9.206723491054834
798000.0,126000.0,23,7.303356647491455,8.361479779290569
810000.0,126000.0,24,8.932186126708984,8.912830891866744
834000.0,126000.0,24,8.505358695983887,8.46069882346578
870000.0,126000.0,24,8.664192199707031,8.421754496200151
954000.0,126000.0,25,8.645981788635254,8.406163314944065
18000.0,138000.0,15,10.760677337646484,10.79152941393978
30000.0,138000.0,15,10.704591751098633,10.772649109106272
42000.0,138000.0,15,10.991281509399414,10.77640234385153
462000.0,138000.0,20,9.991991996765137,9.318296171663182
474000.0,138000.0,20,9.251847267150879,9.274401337774894
594000.0,138000.0,21,8.48999309539795,8.42488762684669
606000.0,138000.0,21,9.612189292907715,9.12231652785485
642000.0,138000.0,22,9.02898120880127,8.930512907211522
690000.0,138000.0,22,9.641439437866211,9.049416617684631
702000.0,138000.0,22,9.459063529968262,9.000278617088778
714000.0,138000.0,23,9.1600923538208,8.779183802267946
774000.0,138000.0,23,9.259353637695312,9.394260355078169
786000.0,138000.0,23,8.349547386169434,9.102746800732282
870000.0,138000.0,24,8.350168228149414,8.160907263404628
882000.0,138000.0,25,8.951319694519043,8.42425997370268
894000.0,138000.0,25,8.409640312194824,8.451089491167856
906000.0,138000.0,25,8.189826011657715,8.219265325661741
918000.0,138000.0,25,8.395606994628906,8.279825845676024
954000.0,138000.0,25,8.253235816955566,8.255152121006562
18000.0,150000.0,15,11.176063537597656,10.78005307132588
42000.0,150000.0,15,10.852940559387207,10.73317730414786
474000.0,150000.0,20,9.913569450378418,9.470181983942155
570000.0,150000.0,21,9.011541366577148,8.747057817497478
582000.0,150000.0,21,8.949562072753906,8.605825887350793
654000.0,150000.0,22,8.972448348999023,8.97973683613691
714000.0,150000.0,23,8.530936241149902,8.430635681371788
870000.0,150000.0,24,8.388059616088867,8.41619981047391
930000.0,150000.0,25,8.380495071411133,8.225049267465002
954000.0,150000.0,25,7.8519287109375,8.039409902471814
966000.0,150000.0,25,8.341069221496582,8.249532119618662
18000.0,162000.0,15,11.04290771484375,10.77309573094331
42000.0,162000.0,15,10.869589805603027,10.761245617833252
486000.0,162000.0,20,9.6845121383667,9.647019250406938
546000.0,162000.0,20,9.405987739562988,9.525503256879016
558000.0,162000.0,21,9.71688175201416,8.886572248245043
606000.0,162000.0,21,8.617671012878418,8.897075100677212
618000.0,162000.0,21,8.82499885559082,9.046793460130095
630000.0,162000.0,22,9.069466590881348,8.845056261685777
642000.0,162000.0,22,9.435528755187988,8.875547297547913
654000.0,162000.0,22,9.556845664978027,8.876613920744651
702000.0,162000.0,22,8.78614330291748,8.835349398581895
942000.0,162000.0,25,8.610041618347168,8.305176887064
954000.0,162000.0,25,8.003095626831055,8.282656221983792
18000.0,174000.0,15,10.927844047546387,10.760299697927984
54000.0,174000.0,15,10.884533882141113,10.76449798470517
66000.0,174000.0,29,11.218008995056152,10.789423886862869
210000.0,174000.0,31,10.584776878356934,10.22544037305652
222000.0,174000.0,31,10.302938461303711,10.111296413310786
234000.0,174000.0,31,10.091428756713867,9.995412479971199
498000.0,174000.0,20,9.851978302001953,9.611250865945415
510000.0,174000.0,20,9.815943717956543,9.562337781450704
522000.0,174000.0,20,9.75730037689209,9.522662952323934
534000.0,174000.0,20,9.75710391998291,9.548447111123775
606000.0,174000.0,21,9.4466552734375,9.057115585068658
870000.0,174000.0,24,8.798039436340332,8.922327007998982
882000.0,174000.0,38,8.38740348815918,8.46507252262684
894000.0,174000.0,38,8.377968788146973,8.300592729612621
18000.0,186000.0,15,11.1165771484375,10.770445876815389
30000.0,186000.0,15,11.314895629882812,10.770441485532638
78000.0,186000.0,29,11.084896087646484,10.874279232871867
198000.0,186000.0,31,10.556527137756348,10.267071625930202
246000.0,186000.0,31,10.257238388061523,9.986067551293996
618000.0,186000.0,21,9.632529258728027,8.99144029670273
894000.0,186000.0,38,8.977387428283691,8.334231563675418
42000.0,198000.0,29,10.800411224365234,10.754577436856776
78000.0,198000.0,29,10.889904975891113,10.817449955260566
198000.0,198000.0,31,10.440118789672852,10.196148940387852
246000.0,198000.0,31,10.12614917755127,9.962904054175084
546000.0,198000.0,35,9.35001277923584,8.610287971939018
558000.0,198000.0,35,9.02707290649414,8.50943361410111
570000.0,198000.0,35,9.202869415283203,8.588259182394394
618000.0,198000.0,36,8.975884437561035,8.964416296430215
906000.0,198000.0,39,8.934418678283691,8.540745650234582
918000.0,198000.0,39,8.929596900939941,8.449438689021163
930000.0,198000.0,39,8.608684539794922,8.360380784463235
54000.0,210000.0,29,10.675894737243652,10.597434125770402
90000.0,210000.0,29,10.074766159057617,9.94190975726673
102000.0,210000.0,29,10.866556167602539,10.536783378411977
138000.0,210000.0,30,10.861586570739746,10.051573013564896
150000.0,210000.0,30,10.5895357131958,10.050799688846412
198000.0,210000.0,31,10.198336601257324,10.130930272786497
246000.0,210000.0,31,9.817642211914062,9.781486894012623
318000.0,210000.0,32,10.460768699645996,9.67086106405076
330000.0,210000.0,32,10.338027954101562,9.670861066973284
534000.0,210000.0,35,9.235860824584961,9.021433710177353
546000.0,210000.0,35,9.382259368896484,9.112705089672012
582000.0,210000.0,35,8.605216979980469,8.471100042614518
594000.0,210000.0,35,9.291669845581055,8.946413772306764
618000.0,210000.0,36,8.669612884521484,9.285842423382512
630000.0,210000.0,36,9.178750038146973,9.521356864823003
942000.0,210000.0,39,8.462029457092285,8.254803125314412
954000.0,210000.0,39,8.455448150634766,8.077139427237412
54000.0,222000.0,29,10.546980857849121,10.45570694582099
114000.0,222000.0,30,10.004911422729492,9.941516285929504
126000.0,222000.0,30,10.106630325317383,10.019378771703417
258000.0,222000.0,31,9.887434005737305,9.999586731243198
330000.0,222000.0,32,10.146486282348633,9.671162297281601
342000.0,222000.0,32,10.306384086608887,9.671002091347345
378000.0,222000.0,33,10.448752403259277,10.04234056485957
462000.0,222000.0,34,9.947102546691895,9.196338176727295
474000.0,222000.0,34,9.261313438415527,9.196338176727295
486000.0,222000.0,34,9.72287654876709,9.196338176727295
618000.0,222000.0,35,8.90926742553711,9.016984952706398
642000.0,222000.0,36,9.339961051940918,9.358010767439591
966000.0,222000.0,39,7.435909271240234,7.485758423662273
978000.0,222000.0,39,7.921706676483154,7.577816872166413
54000.0,234000.0,29,10.683669090270996,10.495901911057524
126000.0,234000.0,30,9.980491638183594,9.95973288244165
198000.0,234000.0,31,10.189866065979004,10.332037195076564
258000.0,234000.0,31,9.585238456726074,9.589440185130204
318000.0,234000.0,32,10.045675277709961,9.760277642556993
330000.0,234000.0,32,10.218534469604492,9.788195198125225
342000.0,234000.0,32,9.858985900878906,9.705015495481888
366000.0,234000.0,33,10.42404842376709,10.137936287601322
378000.0,234000.0,33,10.18032455444336,10.059510788333915
390000.0,234000.0,33,10.073705673217773,10.041764715947174
462000.0,234000.0,34,10.219889640808105,9.25889114312991
498000.0,234000.0,34,9.959722518920898,9.188599308190133
534000.0,234000.0,35,8.853797912597656,9.07011752751399
978000.0,234000.0,39,7.480020046234131,7.517897160521107
54000.0,246000.0,29,10.833202362060547,10.521957667835796
138000.0,246000.0,30,10.784071922302246,10.334247797568503
150000.0,246000.0,30,10.847339630126953,10.015629206475323
186000.0,246000.0,31,10.585803985595703,10.452968669591746
270000.0,246000.0,31,10.009055137634277,9.940284810671063
390000.0,246000.0,33,10.004739761352539,10.040065738310446
474000.0,246000.0,34,9.968348503112793,9.196338176727295
486000.0,246000.0,34,8.862812042236328,9.196338176727295
498000.0,246000.0,34,9.967843055725098,9.196338176727295
510000.0,246000.0,34,10.27938175201416,9.196338176727295
534000.0,246000.0,35,9.134342193603516,9.012984137278366
966000.0,246000.0,39,7.734415531158447,7.599263497519414
42000.0,258000.0,29,10.661263465881348,10.457849863117001
150000.0,258000.0,30,10.174680709838867,9.909016093044961
186000.0,258000.0,31,10.64594841003418,10.571632830987381
282000.0,258000.0,31,9.866326332092285,9.880714778529143
