metric,k,average_mse
nan_euclidean,2,0.19491052996650432
euclidean,2,0.19763660583284048
l2,2,0.19763660583284048
l2,3,0.1991376162436915
euclidean,3,0.1991376162436915
manhattan,2,0.2008354659053496
cityblock,2,0.2008354659053496
l1,2,0.2008354659053496
nan_euclidean,3,0.2035510950427489
manhattan,3,0.21082573758475473
l1,3,0.21082573758475473
cityblock,3,0.21082573758475473
l2,4,0.22932509269410717
euclidean,4,0.22932509269410717
nan_euclidean,4,0.23098677294745507
l1,4,0.25248530606784003
cityblock,4,0.25248530606784003
manhattan,4,0.25248530606784003
nan_euclidean,5,0.2526768872205117
l2,5,0.2534917176577103
euclidean,5,0.2534917176577103
manhattan,5,0.28435704485538066
l1,5,0.28435704485538066
cityblock,5,0.28435704485538066
euclidean,1,0.29001690506336536
l2,1,0.29001690506336536
nan_euclidean,1,0.29051226798941554
manhattan,1,0.30434077450184194
l1,1,0.30434077450184194
cityblock,1,0.30434077450184194
haversine,4,2.1826785174780565
haversine,5,2.1904448614075527
cosine,5,2.2133036531903696
haversine,3,2.328712877357398
cosine,4,2.3542905385037627
cosine,3,2.619880727887175
haversine,2,2.6398660610458613
cosine,2,2.8907120640690493
cosine,1,3.549654778383811
haversine,1,3.7845046554696107
