metric,k,average_mse
euclidean,2,0.1846971948379252
l2,2,0.1846971948379252
nan_euclidean,2,0.1846971948379252
cityblock,2,0.18690985369995658
l1,2,0.18690985369995658
manhattan,2,0.18690985369995658
euclidean,3,0.19707039304649945
l2,3,0.19707039304649945
nan_euclidean,3,0.19707039304649945
manhattan,3,0.19829456564804288
cityblock,3,0.19829456564804288
l1,3,0.19829456564804288
euclidean,4,0.219360078354857
l2,4,0.219360078354857
nan_euclidean,4,0.219360078354857
cityblock,4,0.2249804142651767
manhattan,4,0.2249804142651767
l1,4,0.2249804142651767
l2,5,0.24007548159363032
euclidean,5,0.24007548159363032
nan_euclidean,5,0.24007548159363032
manhattan,5,0.24941746631592326
cityblock,5,0.24941746631592326
l1,5,0.24941746631592326
nan_euclidean,1,0.2607453720236516
l2,1,0.2607453720236516
euclidean,1,0.2607453720236516
l1,1,0.29845885636068475
manhattan,1,0.29845885636068475
cityblock,1,0.29845885636068475
cosine,5,2.189008002014857
cosine,4,2.3173060371373477
cosine,3,2.5200538136808808
cosine,2,2.791611280384663
cosine,1,3.4197233366396307
