Method2,average,bilinear,cubic,cubic_spline,lanczos,max,med,min,mode,nearest,q1,q3,rms,sum
average,377,380,380,380,380,0,373,0,373,372,373,371,377,377
bilinear,64,64,64,64,64,0,64,0,64,64,64,64,64,64
cubic,64,64,64,64,64,0,64,0,64,64,64,64,64,64
cubic_spline,64,64,64,64,64,0,64,0,64,64,64,64,64,64
lanczos,0,0,10,10,29,0,0,0,0,0,0,0,0,0
max,377,380,380,380,380,0,373,0,373,372,373,371,377,377
med,377,380,380,380,380,0,373,0,373,372,373,371,377,377
min,377,380,380,380,380,0,373,0,373,372,373,371,377,377
mode,377,380,380,380,380,0,373,0,373,372,373,371,377,377
nearest,64,64,64,64,64,0,64,0,64,64,64,64,64,64
q1,377,380,380,380,380,0,373,0,373,372,373,371,377,377
q3,377,380,380,380,380,0,373,0,373,372,373,371,377,377
rms,377,380,380,380,380,0,373,0,373,372,373,371,377,377
sum,380,381,381,381,381,0,374,0,373,373,373,375,380,378
