shapefile_path,number_of_points
Permutations/nearest\bilinear\UK_imputation_bilinear.shp,64
Permutations/nearest\cubic\UK_imputation_cubic.shp,64
Permutations/nearest\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/nearest\lanczos\UK_imputation_lanczos.shp,0
Permutations/nearest\average\UK_imputation_average.shp,372
Permutations/nearest\mode\UK_imputation_mode.shp,372
Permutations/nearest\max\UK_imputation_max.shp,372
Permutations/nearest\min\UK_imputation_min.shp,372
Permutations/nearest\med\UK_imputation_med.shp,372
Permutations/nearest\q1\UK_imputation_q1.shp,372
Permutations/nearest\q3\UK_imputation_q3.shp,372
Permutations/nearest\sum\UK_imputation_sum.shp,373
Permutations/nearest\rms\UK_imputation_rms.shp,372
Permutations/bilinear\bilinear\UK_imputation_bilinear.shp,64
Permutations/bilinear\cubic\UK_imputation_cubic.shp,64
Permutations/bilinear\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/bilinear\lanczos\UK_imputation_lanczos.shp,0
Permutations/bilinear\average\UK_imputation_average.shp,380
Permutations/bilinear\mode\UK_imputation_mode.shp,380
Permutations/bilinear\max\UK_imputation_max.shp,380
Permutations/bilinear\min\UK_imputation_min.shp,380
Permutations/bilinear\med\UK_imputation_med.shp,380
Permutations/bilinear\q1\UK_imputation_q1.shp,380
Permutations/bilinear\q3\UK_imputation_q3.shp,380
Permutations/bilinear\sum\UK_imputation_sum.shp,381
Permutations/bilinear\rms\UK_imputation_rms.shp,380
Permutations/cubic\bilinear\UK_imputation_bilinear.shp,64
Permutations/cubic\cubic\UK_imputation_cubic.shp,64
Permutations/cubic\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/cubic\lanczos\UK_imputation_lanczos.shp,10
Permutations/cubic\average\UK_imputation_average.shp,380
Permutations/cubic\mode\UK_imputation_mode.shp,380
Permutations/cubic\max\UK_imputation_max.shp,380
Permutations/cubic\min\UK_imputation_min.shp,380
Permutations/cubic\med\UK_imputation_med.shp,380
Permutations/cubic\q1\UK_imputation_q1.shp,380
Permutations/cubic\q3\UK_imputation_q3.shp,380
Permutations/cubic\sum\UK_imputation_sum.shp,381
Permutations/cubic\rms\UK_imputation_rms.shp,380
Permutations/cubic_spline\bilinear\UK_imputation_bilinear.shp,64
Permutations/cubic_spline\cubic\UK_imputation_cubic.shp,64
Permutations/cubic_spline\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/cubic_spline\lanczos\UK_imputation_lanczos.shp,10
Permutations/cubic_spline\average\UK_imputation_average.shp,380
Permutations/cubic_spline\mode\UK_imputation_mode.shp,380
Permutations/cubic_spline\max\UK_imputation_max.shp,380
Permutations/cubic_spline\min\UK_imputation_min.shp,380
Permutations/cubic_spline\med\UK_imputation_med.shp,380
Permutations/cubic_spline\q1\UK_imputation_q1.shp,380
Permutations/cubic_spline\q3\UK_imputation_q3.shp,380
Permutations/cubic_spline\sum\UK_imputation_sum.shp,381
Permutations/cubic_spline\rms\UK_imputation_rms.shp,380
Permutations/lanczos\bilinear\UK_imputation_bilinear.shp,64
Permutations/lanczos\cubic\UK_imputation_cubic.shp,64
Permutations/lanczos\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/lanczos\lanczos\UK_imputation_lanczos.shp,29
Permutations/lanczos\average\UK_imputation_average.shp,380
Permutations/lanczos\mode\UK_imputation_mode.shp,380
Permutations/lanczos\max\UK_imputation_max.shp,380
Permutations/lanczos\min\UK_imputation_min.shp,380
Permutations/lanczos\med\UK_imputation_med.shp,380
Permutations/lanczos\q1\UK_imputation_q1.shp,380
Permutations/lanczos\q3\UK_imputation_q3.shp,380
Permutations/lanczos\sum\UK_imputation_sum.shp,381
Permutations/lanczos\rms\UK_imputation_rms.shp,380
Permutations/average\bilinear\UK_imputation_bilinear.shp,64
Permutations/average\cubic\UK_imputation_cubic.shp,64
Permutations/average\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/average\lanczos\UK_imputation_lanczos.shp,0
Permutations/average\average\UK_imputation_average.shp,377
Permutations/average\mode\UK_imputation_mode.shp,377
Permutations/average\max\UK_imputation_max.shp,377
Permutations/average\min\UK_imputation_min.shp,377
Permutations/average\med\UK_imputation_med.shp,377
Permutations/average\q1\UK_imputation_q1.shp,377
Permutations/average\q3\UK_imputation_q3.shp,377
Permutations/average\sum\UK_imputation_sum.shp,380
Permutations/average\rms\UK_imputation_rms.shp,377
Permutations/mode\bilinear\UK_imputation_bilinear.shp,64
Permutations/mode\cubic\UK_imputation_cubic.shp,64
Permutations/mode\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/mode\lanczos\UK_imputation_lanczos.shp,0
Permutations/mode\average\UK_imputation_average.shp,373
Permutations/mode\mode\UK_imputation_mode.shp,373
Permutations/mode\max\UK_imputation_max.shp,373
Permutations/mode\min\UK_imputation_min.shp,373
Permutations/mode\med\UK_imputation_med.shp,373
Permutations/mode\q1\UK_imputation_q1.shp,373
Permutations/mode\q3\UK_imputation_q3.shp,373
Permutations/mode\sum\UK_imputation_sum.shp,373
Permutations/mode\rms\UK_imputation_rms.shp,373
Permutations/max\bilinear\UK_imputation_bilinear.shp,0
Permutations/max\cubic\UK_imputation_cubic.shp,0
Permutations/max\cubic_spline\UK_imputation_cubic_spline.shp,0
Permutations/max\lanczos\UK_imputation_lanczos.shp,0
Permutations/max\average\UK_imputation_average.shp,0
Permutations/max\mode\UK_imputation_mode.shp,0
Permutations/max\max\UK_imputation_max.shp,0
Permutations/max\min\UK_imputation_min.shp,0
Permutations/max\med\UK_imputation_med.shp,0
Permutations/max\q1\UK_imputation_q1.shp,0
Permutations/max\q3\UK_imputation_q3.shp,0
Permutations/max\sum\UK_imputation_sum.shp,0
Permutations/max\rms\UK_imputation_rms.shp,0
Permutations/min\bilinear\UK_imputation_bilinear.shp,0
Permutations/min\cubic\UK_imputation_cubic.shp,0
Permutations/min\cubic_spline\UK_imputation_cubic_spline.shp,0
Permutations/min\lanczos\UK_imputation_lanczos.shp,0
Permutations/min\average\UK_imputation_average.shp,0
Permutations/min\mode\UK_imputation_mode.shp,0
Permutations/min\max\UK_imputation_max.shp,0
Permutations/min\min\UK_imputation_min.shp,0
Permutations/min\med\UK_imputation_med.shp,0
Permutations/min\q1\UK_imputation_q1.shp,0
Permutations/min\q3\UK_imputation_q3.shp,0
Permutations/min\sum\UK_imputation_sum.shp,0
Permutations/min\rms\UK_imputation_rms.shp,0
Permutations/med\bilinear\UK_imputation_bilinear.shp,64
Permutations/med\cubic\UK_imputation_cubic.shp,64
Permutations/med\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/med\lanczos\UK_imputation_lanczos.shp,0
Permutations/med\average\UK_imputation_average.shp,373
Permutations/med\mode\UK_imputation_mode.shp,373
Permutations/med\max\UK_imputation_max.shp,373
Permutations/med\min\UK_imputation_min.shp,373
Permutations/med\med\UK_imputation_med.shp,373
Permutations/med\q1\UK_imputation_q1.shp,373
Permutations/med\q3\UK_imputation_q3.shp,373
Permutations/med\sum\UK_imputation_sum.shp,374
Permutations/med\rms\UK_imputation_rms.shp,373
Permutations/q1\bilinear\UK_imputation_bilinear.shp,64
Permutations/q1\cubic\UK_imputation_cubic.shp,64
Permutations/q1\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/q1\lanczos\UK_imputation_lanczos.shp,0
Permutations/q1\average\UK_imputation_average.shp,373
Permutations/q1\mode\UK_imputation_mode.shp,373
Permutations/q1\max\UK_imputation_max.shp,373
