File,Num_Points
manual_method_resampling\nearest\UK_imputation_resampled_12km_nearest_processed.shp,61
manual_method_resampling\bilinear\UK_imputation_resampled_12km_bilinear_processed.shp,61
manual_method_resampling\cubic\UK_imputation_resampled_12km_cubic_processed.shp,61
manual_method_resampling\cubic_spline\UK_imputation_resampled_12km_cubic_spline_processed.shp,61
manual_method_resampling\average\UK_imputation_resampled_12km_average_processed.shp,370
manual_method_resampling\mode\UK_imputation_resampled_12km_mode_processed.shp,370
manual_method_resampling\max\UK_imputation_resampled_12km_max_processed.shp,370
manual_method_resampling\min\UK_imputation_resampled_12km_min_processed.shp,370
manual_method_resampling\med\UK_imputation_resampled_12km_med_processed.shp,370
manual_method_resampling\q1\UK_imputation_resampled_12km_q1_processed.shp,370
manual_method_resampling\q3\UK_imputation_resampled_12km_q3_processed.shp,370
manual_method_resampling\sum\UK_imputation_resampled_12km_sum_processed.shp,373
manual_method_resampling\rms\UK_imputation_resampled_12km_rms_processed.shp,370
